CENSUS_NO,EDUCATION_ZONE,EDUCATION_DIVISION,NAME_SCHOOL,MEDIUM,GENDER,INDEX_NO
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812584
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812592
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812606
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812614
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812673
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812762
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812819
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,2812622
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,2812630
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,F,2812649
